timestamp,voltage,current_amps,frequency,power_factor
0,220.69,3.43,49.95,0.97
20,219.71,3.32,50.03,0.96
40,219.21,3.38,50.09,0.96
60,220.87,3.31,50.08,0.97
80,219.63,3.43,49.93,0.97
100,220.48,3.49,50.03,0.98
120,219.70,3.46,50.02,0.96
140,220.30,3.60,50.07,0.96
160,220.51,3.34,50.05,0.98
180,219.71,3.45,49.96,0.97
200,220.70,3.34,49.90,0.97
220,220.58,3.30,49.99,0.97
240,220.12,3.46,49.99,0.98
260,220.73,3.45,50.06,0.98
280,219.60,3.46,49.96,0.97
300,220.90,3.57,50.06,0.98
320,220.41,3.56,49.97,0.97
340,219.42,3.67,50.01,0.96
360,219.33,3.47,50.10,0.97
380,220.14,3.58,49.94,0.96
400,220.76,3.55,50.09,0.96
420,219.15,3.59,49.92,0.98
440,219.50,3.62,50.08,0.97
460,220.58,3.46,49.94,0.98
480,220.50,3.59,49.99,0.98
500,220.77,3.57,50.01,0.97
520,219.68,3.38,50.03,0.98
540,220.57,3.49,49.93,0.97
560,220.26,3.48,50.09,0.97
580,220.08,3.36,50.04,0.98
600,220.65,3.60,49.91,0.98
620,220.71,3.43,50.06,0.97
640,219.45,3.48,49.93,0.98
660,220.31,3.52,49.98,0.97
680,220.57,3.52,50.08,0.96
700,219.47,3.62,49.92,0.97
720,219.41,3.53,49.93,0.97
740,220.76,3.69,50.05,0.97
760,219.87,3.54,49.99,0.96
780,219.16,3.41,49.92,0.97
800,219.28,3.33,50.07,0.98
820,220.30,3.51,50.02,0.98
840,220.33,3.37,50.04,0.98
860,220.82,3.45,50.10,0.97
880,220.03,3.55,49.96,0.96
900,220.20,3.56,50.06,0.98
920,220.82,3.67,49.96,0.97
940,220.44,3.57,49.99,0.98
960,219.35,3.68,50.05,0.97
980,220.66,3.39,50.09,0.98
1000,219.39,3.55,50.07,0.97
1020,220.26,3.53,50.06,0.98
1040,219.69,3.56,50.05,0.98
1060,219.79,3.56,50.09,0.97
1080,220.95,3.62,50.09,0.96
1100,219.05,3.67,49.94,0.97
1120,219.03,3.53,50.09,0.96
1140,219.94,3.54,50.03,0.98
1160,219.31,3.34,50.01,0.97
1180,219.33,3.66,49.99,0.97
1200,220.46,3.36,50.01,0.97
1220,220.46,3.46,50.03,0.98
1240,219.26,3.34,50.03,0.97
1260,220.37,3.38,50.10,0.97
1280,220.69,3.41,49.95,0.97
1300,219.21,3.53,49.95,0.97
1320,220.23,3.58,50.06,0.98
1340,219.57,3.62,50.05,0.97
1360,220.79,3.64,50.05,0.97
1380,220.93,3.36,50.09,0.96
1400,219.54,3.34,50.10,0.97
1420,219.73,3.64,50.05,0.97
1440,220.86,3.39,50.07,0.98
1460,220.37,3.67,50.09,0.98
1480,219.93,3.60,49.93,0.98
1500,219.53,3.38,49.96,0.98
1520,219.78,3.31,50.06,0.96
1540,219.20,3.50,49.95,0.97
1560,219.58,3.51,49.94,0.97
1580,219.79,3.68,50.07,0.97
1600,219.37,3.48,49.94,0.97
1620,220.82,3.49,49.97,0.96
1640,219.39,3.61,50.04,0.97
1660,219.51,3.64,50.09,0.98
1680,219.19,3.67,50.08,0.98
1700,219.06,3.51,49.91,0.97
1720,219.25,3.63,49.93,0.98
1740,220.80,3.45,50.03,0.98
1760,219.19,3.51,50.07,0.96
1780,219.91,3.63,50.00,0.97
1800,219.60,3.37,49.91,0.98
1820,219.20,3.47,49.94,0.97
1840,219.31,3.44,49.94,0.97
1860,219.13,3.59,49.91,0.98
1880,219.72,3.41,50.05,0.96
1900,219.21,3.56,49.96,0.97
1920,220.13,3.41,50.06,0.97
1940,219.35,3.45,49.92,0.97
1960,219.32,3.64,50.05,0.97
1980,220.79,3.53,50.01,0.98
2000,220.34,3.56,50.07,0.98
2020,220.59,3.43,50.10,0.96
2040,219.65,3.40,49.97,0.98
2060,220.88,3.60,49.92,0.96
2080,220.55,3.63,49.99,0.97
2100,220.55,3.68,50.08,0.96
2120,220.23,3.44,50.03,0.98
2140,219.97,3.39,49.93,0.97
2160,220.69,3.53,50.04,0.96
2180,220.50,3.42,50.06,0.97
2200,220.98,3.53,50.10,0.96
2220,219.45,3.50,49.91,0.98
2240,219.82,3.63,50.01,0.97
2260,220.16,3.44,50.00,0.98
2280,219.83,3.36,50.03,0.98
2300,219.82,3.45,49.90,0.98
2320,220.40,3.47,49.98,0.97
2340,219.24,3.61,49.95,0.97
2360,219.96,3.56,49.95,0.98
2380,219.77,3.38,49.99,0.97
2400,219.06,3.39,50.07,0.96
2420,219.13,3.65,50.09,0.98
2440,219.48,3.54,50.07,0.97
2460,220.46,3.35,50.10,0.97
2480,220.23,3.66,49.95,0.96
2500,219.48,3.67,49.92,0.98
2520,220.97,3.67,50.09,0.98
2540,220.19,3.52,50.03,0.97
2560,219.01,3.59,50.06,0.98
2580,219.86,3.43,49.91,0.97
2600,220.83,3.59,49.92,0.97
2620,219.45,3.36,49.96,0.98
2640,219.26,3.68,50.06,0.97
2660,219.44,3.68,49.96,0.97
2680,219.05,3.35,49.99,0.97
2700,219.93,3.48,50.05,0.97
2720,219.09,3.42,49.96,0.97
2740,220.09,3.62,49.93,0.96
2760,220.55,3.44,49.98,0.97
2780,219.59,3.53,50.04,0.98
2800,220.65,3.48,50.10,0.98
2820,219.18,3.55,50.00,0.97
2840,219.61,3.38,49.91,0.97
2860,219.14,3.54,49.92,0.98
2880,220.34,3.32,49.96,0.98
2900,220.37,3.39,50.06,0.97
2920,219.29,3.37,50.00,0.97
2940,219.68,3.60,49.92,0.98
2960,220.50,3.57,49.99,0.98
2980,219.70,3.54,50.09,0.97
3000,220.14,3.50,50.03,0.98
3020,220.64,3.42,49.92,0.96
3040,219.06,3.53,49.96,0.98
3060,220.42,3.68,50.01,0.97
3080,219.27,3.66,49.97,0.98
3100,219.26,3.38,49.90,0.98
3120,220.54,3.65,50.09,0.96
3140,219.61,3.53,49.96,0.97
3160,220.11,3.33,49.98,0.97
3180,220.26,3.44,50.01,0.97
3200,220.98,3.38,50.04,0.97
3220,220.84,3.57,49.98,0.97
3240,219.31,3.65,50.08,0.96
3260,219.39,3.43,49.96,0.96
3280,220.78,3.47,50.02,0.97
3300,219.69,3.62,50.07,0.98
3320,220.67,3.50,49.96,0.97
3340,220.09,3.50,50.04,0.97
3360,219.34,3.37,49.96,0.97
3380,220.20,3.33,50.06,0.96
3400,220.89,3.35,50.04,0.98
3420,220.61,3.40,49.92,0.96
3440,219.02,3.30,50.08,0.98
3460,219.00,3.46,49.94,0.98
3480,219.85,3.37,49.99,0.97
3500,219.21,3.60,50.01,0.97
3520,219.48,3.48,50.07,0.97
3540,220.25,3.35,50.06,0.98
3560,219.69,3.36,49.93,0.97
3580,220.46,3.49,49.93,0.98
3600,219.73,3.59,50.04,0.96
3620,220.94,3.32,49.92,0.97
3640,219.32,3.48,50.01,0.96
3660,220.18,3.46,49.98,0.96
3680,220.89,3.49,50.03,0.97
3700,220.15,3.59,50.09,0.98
3720,220.30,3.37,50.08,0.97
3740,219.48,3.69,50.04,0.97
3760,220.14,3.65,50.06,0.97
3780,220.06,3.52,50.07,0.96
3800,219.73,3.61,50.02,0.98
3820,219.86,3.65,50.04,0.97
3840,220.50,3.66,49.98,0.98
3860,219.33,3.40,50.06,0.98
3880,220.91,3.57,49.91,0.97
3900,219.83,3.31,49.95,0.96
3920,219.38,3.49,50.07,0.97
3940,220.81,3.32,49.91,0.97
3960,219.27,3.61,49.93,0.96
3980,219.12,3.33,50.08,0.98
4000,219.26,3.34,50.04,0.96
4020,220.69,3.32,50.04,0.98
4040,220.97,3.64,50.06,0.97
4060,220.25,3.49,49.97,0.97
4080,220.62,3.59,50.02,0.97
4100,219.47,3.52,50.10,0.97
4120,220.22,3.43,49.93,0.97
4140,220.44,3.54,49.96,0.97
4160,220.74,3.41,49.94,0.96
4180,219.43,3.33,50.04,0.97
4200,220.41,3.43,50.00,0.97
4220,219.49,3.36,50.08,0.97
4240,220.59,3.51,50.03,0.96
4260,220.53,3.51,49.93,0.97
4280,220.51,3.38,49.92,0.97
4300,220.27,3.57,50.01,0.98
4320,219.04,3.36,49.90,0.97
4340,219.94,3.48,49.93,0.96
4360,219.60,3.46,49.91,0.98
4380,219.57,3.34,49.96,0.98
4400,219.43,3.68,49.98,0.96
4420,220.70,3.44,49.92,0.96
4440,220.21,3.60,50.02,0.97
4460,219.21,3.38,50.07,0.98
4480,219.97,3.63,50.02,0.97
4500,220.24,3.60,50.07,0.96
4520,220.48,3.62,50.03,0.97
4540,219.81,3.46,50.07,0.96
4560,220.02,3.62,49.95,0.97
4580,220.35,3.38,49.96,0.98
4600,219.56,3.69,49.98,0.98
4620,219.18,3.53,49.91,0.97
4640,220.20,3.58,50.01,0.96
4660,219.27,3.48,49.94,0.97
4680,220.44,3.62,49.93,0.97
4700,219.20,3.41,50.10,0.97
4720,220.43,3.47,50.08,0.97
4740,219.04,3.68,49.91,0.98
4760,220.20,3.46,50.08,0.98
4780,219.51,3.65,49.97,0.97
4800,219.04,3.42,49.90,0.98
4820,220.32,3.38,49.91,0.97
4840,219.38,3.63,50.05,0.98
4860,220.94,3.51,50.10,0.97
4880,220.39,3.52,50.02,0.97
4900,220.84,3.56,49.92,0.97
4920,219.17,3.37,50.02,0.97
4940,220.71,3.49,50.04,0.97
4960,219.81,3.54,50.00,0.97
4980,219.71,3.45,49.92,0.97
5000,220.16,3.31,50.08,0.97
5020,220.48,3.53,50.01,0.97
5040,220.89,3.66,49.91,0.97
5060,220.97,3.35,50.04,0.96
5080,219.84,3.56,49.96,0.98
5100,219.07,3.62,50.10,0.97
5120,219.11,3.47,49.91,0.97
5140,220.61,3.60,50.01,0.97
5160,219.18,3.57,50.06,0.97
5180,219.97,3.48,50.01,0.97
5200,220.45,3.64,49.92,0.97
5220,219.28,3.60,50.02,0.97
5240,219.26,3.44,50.00,0.96
5260,219.09,3.38,50.01,0.97
5280,219.00,3.35,49.97,0.96
5300,220.38,3.34,49.94,0.97
5320,219.64,3.69,50.05,0.98
5340,219.95,3.46,50.01,0.97
5360,220.61,3.56,50.00,0.97
5380,220.09,3.32,49.93,0.96
5400,219.88,3.69,49.93,0.97
5420,220.57,3.31,49.96,0.97
5440,219.48,3.32,50.10,0.96
5460,219.26,3.68,50.05,0.97
5480,219.44,3.50,49.93,0.97
5500,219.86,3.58,50.00,0.96
5520,219.43,3.53,50.04,0.98
5540,219.26,3.59,49.92,0.97
5560,219.15,3.69,49.97,0.97
5580,219.49,3.48,50.03,0.96
5600,220.18,3.49,49.94,0.98
5620,219.72,3.50,49.94,0.96
5640,219.33,3.61,50.09,0.97
5660,219.80,3.32,50.04,0.97
5680,219.72,3.60,50.03,0.96
5700,220.61,3.47,50.01,0.98
5720,220.44,3.35,50.05,0.97
5740,220.45,3.70,49.90,0.97
5760,220.81,3.48,49.93,0.97
5780,219.96,3.63,49.97,0.96
5800,219.63,3.43,49.99,0.96
5820,220.47,3.58,49.99,0.98
5840,219.62,3.51,49.97,0.96
5860,220.99,3.67,50.08,0.98
5880,219.25,3.45,50.02,0.98
5900,219.86,3.56,50.08,0.96
5920,219.28,3.35,49.95,0.97
5940,219.29,3.50,49.91,0.97
5960,219.82,3.68,50.00,0.96
5980,220.44,3.43,50.03,0.96
6000,219.58,3.34,50.01,0.97
6020,220.67,3.41,49.98,0.97
6040,219.64,3.62,49.95,0.98
6060,220.23,3.43,50.00,0.97
6080,219.17,3.39,50.05,0.97
6100,220.05,3.59,50.08,0.97
6120,219.48,3.32,49.94,0.96
6140,219.40,3.48,50.07,0.98
6160,219.35,3.68,50.06,0.97
6180,220.06,3.62,50.02,0.98
6200,220.43,3.58,49.90,0.96
6220,220.01,3.42,49.91,0.96
6240,219.09,3.59,49.93,0.97
6260,219.12,3.41,49.97,0.96
6280,220.61,3.31,49.97,0.97
6300,220.02,3.57,50.00,0.97
6320,219.52,3.63,50.06,0.98
6340,220.89,3.46,49.95,0.97
6360,220.85,3.69,50.00,0.98
6380,219.16,3.50,50.08,0.96
6400,220.43,3.44,49.98,0.96
6420,220.96,3.59,50.03,0.97
6440,220.63,3.57,50.06,0.97
6460,219.16,3.51,49.95,0.97
6480,219.22,3.65,50.01,0.97
6500,220.29,3.64,49.91,0.97
6520,220.88,3.59,49.95,0.98
6540,219.39,3.68,49.90,0.98
6560,219.78,3.55,50.08,0.98
6580,220.63,3.50,50.01,0.97
6600,219.16,3.53,49.91,0.97
6620,219.35,3.39,49.97,0.98
6640,220.64,3.64,50.08,0.98
6660,220.81,3.40,50.09,0.96
6680,219.96,3.43,49.94,0.96
6700,219.08,3.30,50.02,0.98
6720,219.25,3.42,49.97,0.97
6740,220.72,3.61,50.09,0.98
6760,219.10,3.54,49.97,0.98
6780,220.38,3.39,50.08,0.97
6800,219.22,3.53,49.92,0.97
6820,219.11,3.68,49.92,0.97
6840,219.48,3.61,50.01,0.97
6860,219.93,3.52,50.04,0.97
6880,219.07,3.40,49.91,0.96
6900,219.75,3.55,50.05,0.98
6920,219.12,3.33,50.07,0.98
6940,219.04,3.60,49.99,0.97
6960,219.04,3.32,50.06,0.97
6980,219.97,3.57,49.95,0.97
7000,219.29,3.36,50.07,0.96
7020,219.79,3.60,49.96,0.98
7040,219.97,3.56,50.06,0.97
7060,220.79,3.44,49.99,0.96
7080,219.85,3.43,50.07,0.97
7100,220.37,3.57,49.97,0.96
7120,219.88,3.52,49.96,0.96
7140,220.79,3.37,50.04,0.96
7160,219.32,3.59,50.09,0.96
7180,220.75,3.68,50.08,0.97
7200,219.77,3.61,50.05,0.97
7220,219.46,3.65,49.95,0.96
7240,220.68,3.61,49.96,0.98
7260,219.61,3.31,50.10,0.97
7280,219.89,3.50,49.97,0.97
7300,219.67,3.56,49.93,0.97
7320,220.80,3.57,49.95,0.97
7340,219.31,3.61,49.96,0.97
7360,220.30,3.47,49.99,0.97
7380,220.36,3.38,50.05,0.96
7400,219.95,3.35,49.94,0.96
7420,219.44,3.33,50.09,0.97
7440,220.23,3.45,50.03,0.98
7460,220.72,3.36,49.92,0.96
7480,220.88,3.52,50.08,0.97
7500,220.28,3.49,50.03,0.96
7520,219.92,3.54,49.91,0.97
7540,219.44,3.65,50.01,0.97
7560,220.25,3.59,49.96,0.98
7580,220.01,3.38,50.01,0.98
7600,220.59,3.34,49.93,0.97
7620,219.92,3.52,50.03,0.97
7640,219.13,3.69,50.04,0.97
7660,220.89,3.68,50.06,0.98
7680,219.25,3.34,50.00,0.98
7700,219.36,3.51,50.05,0.98
7720,220.05,3.41,50.01,0.97
7740,219.87,3.40,49.96,0.98
7760,219.46,3.69,49.98,0.97
7780,219.72,3.56,50.08,0.98
7800,220.48,3.61,49.96,0.98
7820,220.14,3.37,49.98,0.96
7840,220.83,3.36,49.94,0.97
7860,220.96,3.56,50.08,0.97
7880,219.30,3.68,49.96,0.97
7900,220.17,3.65,50.04,0.98
7920,219.97,3.65,49.92,0.97
7940,220.88,3.57,50.03,0.96
7960,219.80,3.56,49.96,0.96
