timestamp,voltage,current_amps,frequency,power_factor
0,219.55,3.63,49.91,0.98
20,219.58,3.51,50.01,0.97
40,219.90,3.63,49.92,0.98
60,219.30,3.64,49.96,0.97
80,219.22,3.43,50.04,0.97
100,220.50,3.39,49.93,0.97
120,220.29,3.50,50.05,0.96
140,219.14,3.37,49.91,0.97
160,220.14,3.64,50.09,0.98
180,219.79,3.38,50.10,0.98
200,220.82,3.62,50.07,0.98
220,219.45,3.35,49.92,0.96
240,220.44,3.57,50.00,0.97
260,220.47,3.43,49.92,0.97
280,219.87,3.43,49.91,0.97
300,220.86,3.60,49.99,0.97
320,220.01,3.39,50.01,0.98
340,219.71,3.56,50.01,0.97
360,219.03,3.68,50.06,0.97
380,219.35,3.63,50.05,0.97
400,220.74,3.49,49.99,0.98
420,220.44,3.42,50.09,0.97
440,219.36,3.49,49.97,0.96
460,219.91,3.58,49.99,0.97
480,220.33,3.34,50.08,0.96
500,220.84,3.50,49.98,0.98
520,219.90,3.35,49.95,0.96
540,219.71,3.52,50.08,0.97
560,219.76,3.32,50.03,0.97
580,220.04,3.63,49.96,0.98
600,219.56,3.45,49.95,0.97
620,219.71,3.47,49.97,0.97
640,220.78,3.30,50.10,0.97
660,219.75,3.43,49.98,0.97
680,219.68,3.50,50.04,0.97
700,220.56,3.37,50.01,0.97
720,219.74,3.59,50.03,0.97
740,220.09,3.54,50.07,0.96
760,219.43,3.64,50.07,0.96
780,220.47,3.58,49.97,0.97
800,219.41,3.32,50.05,0.97
820,219.96,3.32,50.00,0.97
840,219.01,3.61,50.07,0.97
860,219.99,3.54,50.07,0.97
880,219.56,3.67,50.10,0.98
900,220.39,3.44,50.05,0.97
920,220.86,3.47,49.96,0.98
940,220.58,3.61,50.08,0.97
960,219.59,3.45,49.90,0.96
980,219.98,3.59,49.92,0.96
1000,220.75,3.49,50.00,0.98
1020,220.15,3.64,50.05,0.98
1040,220.92,3.40,50.07,0.96
1060,219.55,3.66,49.96,0.97
1080,220.53,3.38,50.05,0.97
1100,220.60,3.36,49.95,0.98
1120,219.64,3.50,50.00,0.96
1140,220.63,3.54,50.03,0.97
1160,220.08,3.50,50.03,0.97
1180,220.08,3.60,50.04,0.98
1200,219.36,3.31,49.94,0.98
1220,219.32,3.41,49.99,0.97
1240,220.63,3.58,49.90,0.96
1260,220.64,3.54,49.93,0.97
1280,219.43,3.63,50.04,0.97
1300,219.88,3.64,49.90,0.97
1320,219.48,3.67,50.05,0.97
1340,219.45,3.56,49.96,0.96
1360,220.72,3.62,50.09,0.97
1380,220.19,3.47,49.98,0.97
1400,219.72,3.51,50.00,0.97
1420,219.28,3.66,50.03,0.98
1440,220.79,3.70,50.04,0.98
1460,219.24,3.66,50.07,0.98
1480,220.33,3.61,50.09,0.97
1500,220.76,3.44,50.00,0.97
1520,220.99,3.65,49.91,0.96
1540,220.40,3.68,50.01,0.96
1560,219.54,3.61,49.94,0.96
1580,219.70,3.59,50.08,0.98
1600,219.70,3.33,50.06,0.97
1620,220.80,3.61,50.01,0.97
1640,219.73,3.65,50.01,0.98
1660,220.02,3.54,49.91,0.97
1680,219.81,3.39,49.99,0.96
1700,219.81,3.36,49.91,0.97
1720,219.20,3.47,49.95,0.97
1740,220.65,3.56,49.99,0.97
1760,219.27,3.37,50.05,0.97
1780,219.76,3.61,49.95,0.97
1800,220.09,3.64,49.95,0.96
1820,220.29,3.31,50.01,0.98
1840,219.15,3.58,50.00,0.97
1860,219.53,3.70,50.04,0.96
1880,220.86,3.57,50.05,0.96
1900,219.55,3.67,50.07,0.97
1920,220.86,3.59,49.93,0.97
1940,219.49,3.34,50.10,0.97
1960,220.22,3.48,49.99,0.97
1980,219.50,3.47,49.97,0.96
2000,220.77,3.40,50.01,0.96
2020,201.50,6.84,48.65,0.77
